amplitude,time_s,input_u,mc_hz,mean_only_hz,variance_corrected_hz,joint_gaussian_hz
0.006,5.321000000000001,0.006,8.205893342884847,7.156093142852662,8.433366079244864,8.175532936425315
0.006,5.322,0.006,8.20628524148094,7.156093123135358,8.433366077725235,8.175532933797323
0.006,5.323,0.006,8.206635263909218,7.156093103418047,8.433366076205616,8.17553293116933
0.006,5.324,0.006,8.206953087297743,7.156093083700733,8.433366074685994,8.175532928541337
0.006,5.325,0.006,8.207258565007981,7.156093063983423,8.43336607316637,8.175532925913359
0.006,5.3260000000000005,0.006,8.20756927533736,7.156093044266114,8.433366071646747,8.175532923285362
0.006,5.327,0.006,8.207893344822748,7.156093024548809,8.433366070127128,8.175532920657371
0.006,5.328,0.006,8.208238996389204,7.156093004831502,8.4333660686075,8.17553291802938
0.006,5.329000000000001,0.006,8.208629766415022,7.156092985114188,8.433366067087878,8.175532915401398
0.006,5.33,0.006,8.20907165950248,7.1560929653968754,8.433366065568258,8.175532912773406
0.006,5.331,0.006,8.209580736849455,7.156092945679567,8.433366064048633,8.175532910145412
0.006,5.332,0.006,8.210157605055727,7.156092925962262,8.433366062529013,8.17553290751743
0.006,5.333,0.006,8.210825585053321,7.1560929062449485,8.4333660610094,8.175532904889437
0.006,5.3340000000000005,0.006,8.211585277405852,7.156092886527639,8.43336605948977,8.175532902261443
0.006,5.335,0.006,8.212446165465705,7.156092866810329,8.43336605797014,8.175532899633446
0.006,5.336,0.006,8.21340638131024,7.156092847093016,8.433366056450524,8.175532897005459
0.006,5.337000000000001,0.006,8.214473421039834,7.15609282737571,8.433366054930902,8.175532894377476
0.006,5.338,0.006,8.215649989902708,7.156092807658399,8.433366053411273,8.17553289174949
0.006,5.339,0.006,8.216931402749694,7.156092787941101,8.433366051891658,8.175532889121497
0.006,5.34,0.006,8.218328999406808,7.1560927682237825,8.433366050372031,8.175532886493507
0.006,5.341,0.006,8.219816131925432,7.156092748506474,8.433366048852413,8.175532883865522
0.006,5.3420000000000005,0.006,8.221398620632948,7.156092728789164,8.433366047332791,8.175532881237528
0.006,5.343,0.006,8.223079881369767,7.15609270907186,8.433366045813168,8.175532878609538
0.006,5.344,0.006,8.224837852148402,7.156092689354551,8.433366044293535,8.175532875981546
0.006,5.345000000000001,0.006,8.226659442520171,7.15609266963724,8.433366042773924,8.17553287335356
