age_s,count,mean_v,mean_a,var_v,var_a,cov_va,term_v,term_a,term_cov,hazard_empirical_hz,hazard_mean_hz,hazard_voltage_only_hz,hazard_full_gaussian_hz
0.1775,717652.0,-2.2888384726057732e-05,-2.398082314677586e-06,8.852857413141477e-08,5.865726366599108e-10,2.933542480732851e-09,0.17705714826282953,0.02816721801240892,-0.057497432622363884,8.373597373186245,7.226280406802842,8.626005928383595,8.376677623330448
0.1825,685708.0,-2.3246745486127006e-05,-2.4945784826398333e-06,8.84497229952867e-08,5.868552678996083e-10,2.932083909260934e-09,0.1768994459905734,0.02818078996453919,-0.0574688446215143,8.374688343889058,7.227934987523319,8.626620455320959,8.377627580761903
0.1875,663122.0,-2.3611691944558906e-05,-2.609814388741105e-06,8.803226653061793e-08,5.869833844344284e-10,2.917069473445991e-09,0.17606453306123585,0.028186942120541254,-0.05717456167954142,8.375333199813655,7.230822538453063,8.62286443208426,8.376496184264974
0.1925,631728.0,-2.3813817615465668e-05,-2.696151779322233e-06,8.831776198116063e-08,5.870343542896469e-10,2.9255331019970887e-09,0.17663552396232127,0.028189389692988846,-0.05734044879914294,8.381684906022155,7.234018220128894,8.631602490126967,8.38361425670727
0.1975,608029.0,-2.3909038938205556e-05,-2.823803244564441e-06,8.831438063533459e-08,5.864350865575387e-10,2.92024774741007e-09,0.17662876127066918,0.02816061285649301,-0.05723685584923737,8.389174676900666,7.241694267875357,8.64070308592572,8.39308130420358
0.2025,580635.0,-2.3969672206837337e-05,-2.8867008816981093e-06,8.864102362816091e-08,5.87385684812538e-10,2.9271949709055284e-09,0.17728204725632182,0.028206260584698075,-0.05737302142974836,8.396820094893068,7.245280737990603,8.65063191024709,8.401965030033361
0.20750000000000002,563811.0,-2.388316925242938e-05,-3.000129526408048e-06,8.8336236271341e-08,5.868394588957545e-10,2.9184682560926067e-09,0.17667247254268198,0.02818003081617413,-0.05720197781941509,8.405923102738933,7.254594054334107,8.656473334208993,8.408856169847962
0.2125,533768.0,-2.3713021668844014e-05,-3.0763964206610356e-06,8.807417727805472e-08,5.877886155929214e-10,2.9353290289246504e-09,0.17614835455610944,0.028225609320772088,-0.057532448966923146,8.408442014231664,7.262489247199558,8.661353434836661,8.411200045518903
0.2175,513009.0,-2.357500316707272e-05,-3.1685015055845934e-06,8.80036726683382e-08,5.858510339584761e-10,2.9252655521608505e-09,0.17600734533667642,0.02813256665068602,-0.05733520482235267,8.417967631045485,7.271054349129742,8.670345618793547,8.420809936282218
0.2225,489767.0,-2.344428626865291e-05,-3.219883838997283e-06,8.827973299921899e-08,5.865634294616707e-10,2.9269818631597e-09,0.17655946599843797,0.028166775882749427,-0.05736884451793012,8.430819875993155,7.276618693152225,8.681772866274782,8.431913105729103
0.2275,472927.0,-2.373066975235695e-05,-3.2983206183470598e-06,8.812051704923707e-08,5.857516327908272e-10,2.9159829118280167e-09,0.17624103409847414,0.028127793406615524,-0.05715326507182913,8.432020767721566,7.278044420426895,8.680709254253179,8.43236910361089
0.2325,450598.0,-2.400569869506567e-05,-3.3708549132707524e-06,8.819070279456347e-08,5.866036217548632e-10,2.9228658170424404e-09,0.17638140558912693,0.028168705916668528,-0.05728817001403183,8.43375797275741,7.2792146654159415,8.683323840872934,8.43411611106424
0.23750000000000002,431571.0,-2.396089678926964e-05,-3.4613148933829677e-06,8.840526230932375e-08,5.852150562134079e-10,2.930692022776357e-09,0.17681052461864752,0.028102026999367844,-0.0574415636464166,8.443438133761077,7.286323460335464,8.69553449102568,8.444117797679555
0.2425,415009.0,-2.428192126381587e-05,-3.558018951598124e-06,8.852876325165399e-08,5.867826079006926e-10,2.943573681768031e-09,0.17705752650330797,0.028177300831391257,-0.057694044162653405,8.445592621972594,7.288550871473899,8.70034142985446,8.447288703329548
